altas_montevideo,altas_interior,fecha,altas
3717.0,5616.0,2023-08-01,9333.0
3691.0,6509.0,2023-09-01,10200.0
3493.0,7293.0,2023-10-01,10786.0
3213.0,6155.0,2023-11-01,9368.0
4181.0,8216.0,2023-12-01,12397.0
4763.0,8248.0,2024-01-01,13011.0
3242.0,5633.0,2024-02-01,8875.0
3302.0,5119.0,2024-03-01,8421.0
3754.0,6388.0,2024-04-01,10142.0
3232.0,6267.0,2024-05-01,9499.0
3432.0,6521.0,2024-06-01,9953.0
3389.0,7040.0,2024-07-01,10429.0
3211.0,4855.0,2024-08-01,8066.0
3193.0,6672.0,2024-09-01,9865.0
3254.0,7265.0,2024-10-01,10519.0
2919.0,6812.0,2024-11-01,9731.0
3793.0,8020.0,2024-12-01,11813.0
4083.0,7449.0,2025-01-01,11532.0
3079.0,5903.0,2025-02-01,8982.0
3347.0,6181.0,2025-03-01,9528.0
3319.0,5997.0,2025-04-01,9316.0
3084.0,5939.0,2025-05-01,9023.0
3054.0,5975.0,2025-06-01,9029.0
3087.0,6362.0,2025-07-01,9449.0
